Term,Pronunciation,Context / Example Usage,Notes,Tags
Paulette Koronkevich,,,,
Ramon Rakow,,,
Amal Ahmed,,,
William J. Bowman,,,
University of British Columbia,,,
Northeastern University,,,
ANF,,,
Coq,,,
compiler,,,
ECC (extended calculus of constructions) ,,,
CompCert ,,,
CertiKOS,,,
OCaml,,,
IL (intermediate language) ,,,
Ahmed,,,
Bowman,,,
Flanagan,,,
Prop,,,
Join-Point,,,
System F,,,
TAL,,,
closure conversion,,,
CPS,,,
call-by-push-value,,,
monadic,,,
