Term,Pronunciation,Context / Example Usage,Notes,Tags
Elijah Rivera,,,,
Shriram Krishnamurthi,,,,
Brown University,,,,
higher-order function,,,,
CACM ,,,,
HOFS (higher-order functions) ,,,,
FP (functional programming) ,,,,
Haskell,,,,
OCaml,,,,
Scheme,,,,
Feser,,,,
TAs,,,,
Felleisen,,,,
Findler,,,,
Racket,,,,
HTDP,,,,
Krishnamurthi,,,,
Fisler,,,,
Rivera,,,,
