Term,Pronunciation,Context / Example Usage,Notes,Tags
Son Ho,,,,
Jonathan Protzenko,,,,
INRIA,,,,
Micosoft Research,,,,
Redmond,,,,
Rust,,,,
Aeneas,,,,
toolchain,,,,
borrows,,,,
aliasing,,,,
LLBC,,,,
Low-Level Borrow Calculus,,,,
lambda-calculus,,,,
OCaml,,,,
Graydon Hoare,,,,
StackOverflow,,,,
Dafny,,,,
RefinedC,,,,
separation logic,,,,
Reynolds,,,,
SMT,,,,
Viper,,,,
Why,,,,
F* ,,,,
ML,,,,
Matsakis,,,,
SML,,,,
n-th ,,,,
compiler,,,,
immutable,,,,
feature-arity,,,,
Electrolysis,,,,
RustBelt,,,,
Charon tool,,,,
RustHorn,,,,
