Term,Pronunciation,Context / Example Usage,Notes,Tags
Steven Keuchel,,,,
Sander Huyghebaert,,,,
Georgy Lukyanov,,,,
Dominique Devriese,,,,
Vrije Universiteit Brussel,,,,
Newcastle University,,,,
KU Leuven,,,,
Kripke,,,,
monad,,,,
angelic ,,,,
demonic,,,,
nondeterminism,,,,
Kripke-indexed,,,,
Iris,,,,
Katamaran,,,,
ISA (instruction set architecture) ,,,,
Hoare logic,,,,
Gotsman,,,,
SE (symbolic execution) ,,,,
WP (weakest preconditions) ,,,,
Dafny,,,,
Frama-C,,,,
VeriFast,,,,
VST,,,,
Bedrock,,,,
Coq,,,,
Isabelle,,,,
Ltac,,,,
VeriSmall,,,,
VC (Verification condition) ,,,,
VCG (verification condition generator) ,,,,
μSail (mu-sail) ,,,,
Sail,,,,
Armstrong,,,,
Dijkstra,,,,
monad,,,,
F* language,,,,
Maillard,,,,
Swamy,,,,
Iris,,,,
separation logic,,,,
MinimalCaps property,,,,
autarkic style,,,,
FVF,,,,
