Term,Pronunciation,Context / Example Usage,Notes,Tags
Lucas Escot,,,,
Jesper Cockx,,,,
TU Delft,,,,
Agda,,,,
datatype-generic programming,,,,
Bird ,,,,
Böhm,,,,
Berarducci,,,,
Idris,,,,
inductive,,,,
Haskell,,,,
deriving,,,,
derive,,,,
Rust,,,,
ppx_derive,,,,
OCaml,,,,
meta-programming,,,,
C++,,,,
Template Haskell,,,,
Lean,,,,
Chapman,,,,
McBride,,,,
effectfully,,,,
telescope,,,,
J eliminator,,,,
No Confusion principle,,,,
heterogeneous,,,,
Martin-Lôf,,,,
Nordström,,,,
universe-polymorhpism,,,,
Cockx and Devriese,,,,

